prop,cu_high,cu_low
0.865,2016.575787503705,1758.1479576950094
0.866,2017.3618367119998,1758.7280536299218
0.867,2018.1519270675371,1759.3111318884123
0.868,2018.9461175337588,1759.8972359848729
0.869,2019.7444683548101,1760.4864103788404
0.87,2020.5470410936293,1761.0787005031068
0.871,2021.3538986714696,1761.6741527928857
0.872,2022.1651054089261,1762.2728147160913
0.873,2022.9807270685315,1762.874734804771
0.874,2023.8008308989974,1763.479962687757
0.875,2024.6254856811743,1764.088549124584
0.876,2025.4547617758171,1764.7005460407386
0.877,2026.2887311732363,1765.3160065643024
0.878,2027.127467544929,1765.934985064055
0.879,2027.9710462972864,1766.5575371891086
0.88,2028.819544627475,1767.1837199101496
0.881,2029.673041581604,1767.8135915623636
0.882,2030.5316181152878,1768.4472118901308
0.883,2031.3953571567256,1769.0846420935784
0.884,2032.2643436724277,1769.7259448770844
0.885,2033.138664735717,1770.3711844998334
0.886,2034.0184095981558,1771.0204268285265
0.887,2034.9036697640447,1771.6737393923618
0.888,2035.7945390681557,1772.3311914404007
0.889,2036.691113756871,1772.992854001447
0.89,2037.5934925729077,1773.6587999465737
0.891,2038.501776843824,1774.3291040544377
0.892,2039.416070574507,1775.0038430795369
0.893,2040.3364805438655,1775.6830958235678
0.894,2041.2631164059574,1776.3669432100558
0.895,2042.1960907957996,1777.0554683624423
0.896,2043.1355194401249,1777.7487566858229
0.897,2044.0815212733678,1778.4468959525414
0.898,2045.0342185591762,1779.1499763918669
0.899,2045.9937370177759,1779.8580907839853
0.9,2046.960205959524,1780.5713345585618
0.901,2047.9337584250234,1781.2898058981425
0.902,2048.9145313321856,1782.0136058466862
0.903,2049.9026656306655,1782.7428384235361
0.904,2050.898306464117,1783.4776107431608
0.905,2051.9016033407506,1784.218033141025
0.906,2052.9127103127094,1784.9642193059692
0.907,2053.9317861648265,1785.716286419506
0.908,2054.9589946133483,1786.4743553024805
0.909,2055.9945045152785,1787.2385505695606
0.91,2057.0384900890253,1788.0090007920744
0.911,2058.091131147099,1788.7858386697371
0.912,2059.1526133416623,1789.5692012118654
0.913,2060.223128423798,1790.359229928714
0.914,2061.302874517429,1791.1560710336257
0.915,2062.3920564088976,1791.9598756567382
0.916,2063.490885853303,1792.7708000710559
0.917,2064.599581898768,1793.5890059317583
0.918,2065.718371229926,1794.4146605296885
0.919,2066.8474885320156,1795.2479370600497
0.92,2067.987176877083,1796.089014907421
0.921,2069.137688133945,1796.9380799483033
0.922,2070.2992834036813,1797.7953248725096
0.923,2071.4722334826092,1798.6609495248354
0.924,2072.6568193548524,1799.5351612685672
0.925,2073.85333271681,1800.4181753725388
0.926,2075.0620765360622,1801.3102154235928
0.927,2076.283365647454,1802.2115137664891
0.928,2077.5175273894015,1803.1223119734877
0.929,2078.7649022837177,1804.0428613460572
0.93,2080.0258447626084,1804.9734234513858
0.931,2081.3007239468325,1805.914270696658
0.932,2082.5899244794296,1806.865686944336
0.933,2083.893847419873,1807.8279681720353
0.934,2085.2129112039956,1808.801423180939
0.935,2086.5475526756177,1809.7863743571288
0.936,2087.89822819642,1810.7831584906598
0.937,2089.2654148413385,1811.7921276577479
0.9380000000000001,2090.6496116875337,1812.8136501720164
0.9390000000000001,2092.0513412059195,1813.8481116114294
0.9400000000000001,2093.471150765236,1814.8959159282808
0.9410000000000001,2094.9096142598223,1815.9574866504743
0.9420000000000001,2096.3673338735603,1817.0332681832938
0.9430000000000001,2097.8449419939466,1818.1237272219703
0.9440000000000001,2099.343103291972,1819.2293542866073
